City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
381,loiza,18.4313,-65.8802,297.14,92,40,2.06,PR,1675569314
382,chimoio,-19.1164,33.4833,292.59,91,69,1.25,MZ,1675569315
383,mafinga,-7.25,35.0667,290.22,98,87,1.43,TZ,1675569316
384,sambava,-14.2667,50.1667,297.4,87,98,2.08,MG,1675569317
385,saiha,22.4833,92.9667,298.44,17,27,1.45,IN,1675569318
386,alta floresta,-9.8756,-56.0861,293.81,98,93,0.99,BR,1675569319
387,djenne,13.9061,-4.5533,293.43,14,79,5.56,ML,1675569320
388,bethel,41.3712,-73.414,269.56,57,0,0.0,US,1675569320
389,grindavik,63.8424,-22.4338,278.41,100,100,14.92,IS,1675569321
390,along,28.1667,94.7667,294.94,30,63,0.45,IN,1675569322
391,bathsheba,13.2167,-59.5167,299.49,73,40,9.26,BB,1675569323
392,kimbe,-5.5502,150.1429,302.64,73,71,2.82,PG,1675569323
393,whitianga,-36.8333,175.7,294.7,74,67,4.51,NZ,1675569324
394,awbari,26.5921,12.7805,280.76,32,35,5.19,LY,1675569325
395,sala consilina,40.3912,15.5989,273.92,67,37,8.03,IT,1675569325
396,burns lake,54.2331,-125.7533,273.83,99,100,1.76,CA,1675569326
397,eureka,40.8021,-124.1637,286.49,86,100,4.92,US,1675569327
398,baruun-urt,46.6806,113.2792,259.72,78,18,1.67,MN,1675569327
399,puri,19.8,85.85,295.44,48,6,2.13,IN,1675569328
400,tura,25.5198,90.2201,295.2,37,2,1.51,IN,1675569329
401,bowen,-20.0167,148.2333,302.73,69,100,3.46,AU,1675569329
402,kalmunai,7.4167,81.8167,299.88,75,93,4.68,LK,1675569330
403,malanje,-9.5402,16.341,290.33,98,100,2.18,AO,1675569330
404,chokwe,-24.5333,32.9833,294.5,94,11,2.84,MZ,1675569331
405,dubna,56.7333,37.1667,265.19,97,100,1.61,RU,1675569331
406,vardo,70.3705,31.1107,265.14,93,40,6.17,NO,1675569332
407,sibu,2.3,111.8167,300.32,74,40,1.54,MY,1675569332
408,abha,18.2164,42.5053,281.29,61,0,0.0,SA,1675569270
409,leshukonskoye,64.8989,45.7622,246.85,100,100,1.54,RU,1675569333
410,saint-paul,-21.0096,55.2707,301.21,76,84,0.99,RE,1675569334
411,neiafu,-18.65,-173.9833,302.53,74,75,4.63,TO,1675569334
412,elda,38.4778,-0.7916,284.66,36,0,0.8,ES,1675569335
413,nagato,34.3833,131.2,282.0,49,64,2.77,JP,1675569335
414,little current,45.9793,-81.9248,270.63,77,100,0.89,CA,1675569336
415,fallon,39.4735,-118.7774,279.08,62,0,3.09,US,1675569219
416,cabinda,-5.55,12.2,298.58,90,100,3.37,AO,1675569336
417,codrington,-38.2667,141.9667,291.17,59,99,4.93,AU,1675569337
418,kaitangata,-46.2817,169.8464,290.84,91,100,6.27,NZ,1675569338
419,novikovo,51.1537,37.8879,267.48,95,94,3.86,RU,1675569338
420,harper,4.375,-7.7169,299.1,86,57,3.03,LR,1675569339
421,sola,-13.8833,167.55,298.52,94,100,5.14,VU,1675569339
422,beian,63.6559,9.5683,278.71,70,40,10.8,NO,1675569340
423,villa del rosario,7.8339,-72.4742,297.36,73,40,1.03,CO,1675569340
424,dukat,62.55,155.55,243.8,97,99,1.7,RU,1675569341
425,utete,-7.986,38.758,296.45,96,88,1.0,TZ,1675569341
426,kushiro,42.975,144.3747,269.68,68,40,5.14,JP,1675569341
427,port hardy,50.6996,-127.4199,281.25,93,100,10.8,CA,1675569342
428,bud,39.447,-86.1758,279.14,52,100,7.07,US,1675569342
429,flinders,-34.5833,150.8552,300.4,51,0,5.46,AU,1675569343
430,lagunas,-5.2269,-75.6753,295.6,80,32,1.12,PE,1675569343
431,pochutla,15.7432,-96.4661,295.86,64,16,1.44,MX,1675569344
432,rabak,13.1809,32.74,293.26,21,15,4.6,SD,1675569344
433,bestobe,52.4994,73.0975,252.16,100,100,2.39,KZ,1675569345
434,odweyne,9.4092,45.064,289.4,24,15,3.03,SO,1675569345
435,zalantun,48.0,122.7167,262.94,60,2,2.35,CN,1675569346
436,kidal,18.4411,1.4078,291.01,12,88,4.74,ML,1675569346
437,marly,50.3456,3.5496,282.04,95,100,3.2,FR,1675569347
438,griffith,41.5284,-87.4237,277.18,67,0,7.72,US,1675569263
439,tashla,51.7716,52.7427,260.33,89,100,3.22,RU,1675569348
440,nortelandia,-14.4547,-56.8028,295.33,95,100,0.69,BR,1675569348
441,solwezi,-12.1688,26.3894,288.8,99,100,1.24,ZM,1675569349
442,minab,27.1467,57.0801,291.72,76,47,1.85,IR,1675569349
443,gao,16.6362,1.637,293.28,14,57,5.25,ML,1675569350
444,honningsvag,70.9821,25.9704,271.01,74,100,7.2,NO,1675569351
445,soyo,-6.1349,12.3689,298.17,85,100,3.25,AO,1675569351
446,aklavik,68.2191,-135.0107,234.15,67,0,1.54,CA,1675569351
447,yar-sale,66.8333,70.8333,253.57,100,73,1.91,RU,1675569352
448,imeni poliny osipenko,52.4201,136.4853,253.66,88,100,2.1,RU,1675569353
449,ruteng,-8.6136,120.4721,293.26,84,93,1.09,ID,1675569353
450,vigeland,58.0844,7.305,278.18,86,100,8.0,NO,1675569354
451,port blair,11.6667,92.75,302.17,79,40,5.14,IN,1675569354
452,tromso,69.6496,18.957,274.16,69,100,5.66,NO,1675569345
